run_label,config_name,checkpoint_step,checkpoint_label,env_name,task_one_hot_idx,eval_seed,success_rate,avg_return,std_return,avg_steps,std_steps,avg_first_success_step,episodes,goals
pickplace_push,config_1,1100000,1100000,pick-place-v3,0,67,0.58,968.7635997312449,1099.335652118832,238.48,224.93629392903807,49.10344827586207,50,50
pickplace_push,config_1,1100000,1100000,push-v3,1,67,0.36,2295.545416984136,1415.2432114684627,352.82,204.65787180022156,91.16666666666667,50,50
pickplace_push,config_1,1150000,1150000,pick-place-v3,0,67,0.54,975.1276618641776,1017.9474741873676,273.94,220.97524194130983,81.37037037037037,50,50
pickplace_push,config_1,1150000,1150000,push-v3,1,67,0.36,2280.3169442566514,1418.5751479084765,354.54,206.33430472445062,95.94444444444444,50,50
pickplace_push,config_1,1200000,1200000,pick-place-v3,0,67,0.56,898.9201744626093,1017.0542416152,256.2,218.6457390018691,64.64285714285714,50,50
pickplace_push,config_1,1200000,1200000,push-v3,1,67,0.3,2341.893581706081,1352.4080522423756,373.3,198.92981533337687,77.66666666666667,50,50
pickplace_push,config_1,1250000,1250000,pick-place-v3,0,67,0.56,1004.4273833847432,1086.3946941474762,254.08,220.61221310577662,60.857142857142854,50,50
pickplace_push,config_1,1250000,1250000,push-v3,1,67,0.3,2474.46049790337,1355.688750204165,378.16,194.53842388419554,93.86666666666666,50,50
pickplace_push,config_1,1300000,1300000,pick-place-v3,0,67,0.58,894.1361068375699,1024.6172354543075,245.04,219.59953905010914,60.41379310344828,50,50
pickplace_push,config_1,1300000,1300000,push-v3,1,67,0.34,2306.5296153795857,1442.9833355639225,356.82,208.23119901901822,78.88235294117646,50,50
pickplace_push,config_1,1350000,1350000,pick-place-v3,0,67,0.64,829.1651819439154,1042.9141752126995,218.6,213.5781652067018,60.3125,50,50
pickplace_push,config_1,1350000,1350000,push-v3,1,67,0.44,2032.0542786924548,1654.8834619138158,303.88,223.94529579833568,54.27272727272727,50,50
pickplace_push,config_1,1400000,1400000,pick-place-v3,0,67,0.64,728.230420273988,954.1455422416925,229.62,210.75683735005114,77.53125,50,50
pickplace_push,config_1,1400000,1400000,push-v3,1,67,0.4,2232.190736529336,1616.2890474722037,324.08,218.9148413312858,60.2,50,50
pickplace_push,config_1,1450000,1450000,pick-place-v3,0,67,0.64,676.0654303781968,937.5177816165694,217.3,214.89924074660982,58.28125,50,50
pickplace_push,config_1,1450000,1450000,push-v3,1,67,0.54,1750.791312631884,1692.0242078171423,257.26,226.8104314989385,50.48148148148148,50,50
pickplace_push,config_1,1500000,1500000,pick-place-v3,0,67,0.58,717.2106261739774,936.1497830320033,246.02,219.0610286785723,62.10344827586207,50,50
pickplace_push,config_1,1500000,1500000,push-v3,1,67,0.64,1473.898226303755,1677.1605576103716,215.42,218.29619365271887,55.34375,50,50
pickplace_push,config_1,1550000,1550000,pick-place-v3,0,67,0.64,780.3148714295758,1001.206132795963,223.18,213.77564913540857,67.46875,50,50
