run_label,config_name,checkpoint_step,checkpoint_label,env_name,task_one_hot_idx,mean_success_rate,std_success_rate,mean_return,std_return_across_seeds,mean_steps,mean_first_success_step,eval_seeds,total_episodes,goals
basketball_pickplace,config_1,1250000,1250000,pick-place-v3,1,0.14,,360.98951204540623,,439.72,69.42857142857143,1,50,50
basketball_pickplace,config_1,1300000,1300000,basketball-v3,0,0.0,,581.3450731215688,,500.0,,1,50,50
basketball_pickplace,config_1,1300000,1300000,pick-place-v3,1,0.2,,211.52279281893556,,418.88,94.4,1,50,50
basketball_pickplace,config_1,1350000,1350000,basketball-v3,0,0.0,,506.23135119117455,,500.0,,1,50,50
basketball_pickplace,config_1,1350000,1350000,pick-place-v3,1,0.26,,216.942919451262,,387.52,67.38461538461539,1,50,50
basketball_pickplace,config_1,1400000,1400000,basketball-v3,0,0.0,,605.6358718358603,,500.0,,1,50,50
basketball_pickplace,config_1,1400000,1400000,pick-place-v3,1,0.22,,272.8412854994729,,403.92,63.27272727272727,1,50,50
basketball_pickplace,config_1,1450000,1450000,basketball-v3,0,0.0,,697.7120275184362,,500.0,,1,50,50
basketball_pickplace,config_1,1450000,1450000,pick-place-v3,1,0.32,,306.6971152753121,,356.48,51.5,1,50,50
basketball_pickplace,config_1,1500000,1500000,basketball-v3,0,0.0,,1106.910762584072,,500.0,,1,50,50
basketball_pickplace,config_1,1500000,1500000,pick-place-v3,1,0.3,,453.5929339112538,,368.08,60.266666666666666,1,50,50
basketball_pickplace,config_1,1550000,1550000,basketball-v3,0,0.0,,1160.1398584630952,,500.0,,1,50,50
basketball_pickplace,config_1,1550000,1550000,pick-place-v3,1,0.26,,727.7358321515973,,386.0,61.53846153846154,1,50,50
basketball_pickplace,config_1,1600000,1600000,basketball-v3,0,0.0,,1158.95639529336,,500.0,,1,50,50
basketball_pickplace,config_1,1600000,1600000,pick-place-v3,1,0.26,,1052.0963165845758,,385.9,61.15384615384615,1,50,50
basketball_pickplace,config_1,1650000,1650000,basketball-v3,0,0.0,,1144.929570122189,,500.0,,1,50,50
basketball_pickplace,config_1,1650000,1650000,pick-place-v3,1,0.22,,1049.6013623431147,,406.1,73.18181818181819,1,50,50
basketball_pickplace,config_1,1700000,1700000,basketball-v3,0,0.0,,1052.8492337835582,,500.0,,1,50,50
basketball_pickplace,config_1,1700000,1700000,pick-place-v3,1,0.26,,682.9628484119727,,390.26,77.92307692307692,1,50,50
basketball_pickplace,config_1,1750000,1750000,basketball-v3,0,0.0,,827.5718324402405,,500.0,,1,50,50
basketball_pickplace,config_1,1750000,1750000,pick-place-v3,1,0.3,,998.612197849859,,366.08,53.6,1,50,50
basketball_pickplace,config_1,1800000,1800000,basketball-v3,0,0.0,,1060.041562954751,,500.0,,1,50,50
basketball_pickplace,config_1,1800000,1800000,pick-place-v3,1,0.36,,675.0482491681319,,341.16,58.77777777777778,1,50,50
basketball_pickplace,config_1,1850000,1850000,basketball-v3,0,0.0,,1080.7929323509095,,500.0,,1,50,50
basketball_pickplace,config_1,1850000,1850000,pick-place-v3,1,0.3,,738.5506446558461,,371.52,71.73333333333333,1,50,50
basketball_pickplace,config_1,1900000,1900000,basketball-v3,0,0.0,,1112.4785236502642,,500.0,,1,50,50
basketball_pickplace,config_1,1900000,1900000,pick-place-v3,1,0.3,,609.1135663892895,,368.74,62.46666666666667,1,50,50
basketball_pickplace,config_1,1950000,1950000,basketball-v3,0,0.0,,1131.9728035450682,,500.0,,1,50,50
basketball_pickplace,config_1,1950000,1950000,pick-place-v3,1,0.38,,550.5699930132727,,332.52,59.26315789473684,1,50,50
basketball_pickplace,config_1,2000000,2000000,basketball-v3,0,0.0,,961.685808189268,,500.0,,1,50,50
basketball_pickplace,config_1,2000000,2000000,pick-place-v3,1,0.36,,666.3595149324002,,338.86,52.388888888888886,1,50,50
basketball_pickplace,config_1,2050000,2050000,basketball-v3,0,0.0,,1197.1765910017884,,500.0,,1,50,50
basketball_pickplace,config_1,2050000,2050000,pick-place-v3,1,0.42,,711.965974393139,,312.82,54.333333333333336,1,50,50
